TIC 137307173|Gaia DR2 2051748659478657152|Kepler-745
Kepler-262|TIC 122673489|Gaia DR2 2051030231707057024
TIC 137545963|Kepler-748|Gaia DR2 2051722855314502400
Kepler-264|TIC 137347078|Gaia DR2 2051738798233021824
TIC 175193677|Gaia DR2 666427539629086976|HD 73344|HIP 42403
Gaia DR2 2051836379889114240|Kepler-1732|TIC 137547023
Gaia DR2 2051832634677771008|TIC 137637249|Kepler-263
Gaia DR2 2052528625536778624|Kepler-261|TIC 137148674
K2-368|Gaia DR2 2613924969021549440|TIC 38136597
TIC 122781795|Kepler-1733|Gaia DR2 2052549584977429504
TIC 138036531|Kepler-754|Gaia DR2 2051669906960994304
TIC 27626711|Gaia DR2 650623262571412480|K2-373
Kepler-753|Gaia DR2 2051905030647886976|TIC 351056774
TIC 175241633|Gaia DR2 659493675706526848|K2-339
Kepler-752|Gaia DR2 2051896440713570048|TIC 137548225
Kepler-766|Gaia DR2 2052234368740841600|TIC 138036952
Gaia DR2 2099527421862552832|Kepler-771|TIC 121276933
EPIC 212624936|TIC 2764004|Gaia DR2 3614661419960402944
Gaia DR2 2052603289249806976|Kepler-773|TIC 122682991
Gaia DR2 4072055435329128576|TIC 90090343|K2-379
TIC 90605642|K2-380|Gaia DR2 4073600356552513280
TIC 137220387|Kepler-767|Gaia DR2 2052567623840745216
Gaia DR2 2051907813786770688|TIC 137348863|Kepler-260
Kepler-268|TIC 137348987|Gaia DR2 2051908157384215296
Gaia DR2 2535107508776249856|TIC 399702475|K2-384
Gaia DR2 2552976943549668352|TIC 257429687|K2-385
Gaia DR2 2051368056655683328|TIC 394179552|Kepler-1736
Gaia DR2 2576755978444329216|K2-386|TIC 376879052
Gaia DR2 2052629162133190784|TIC 122780849|Kepler-774
TIC 137150277|Gaia DR2 2052585044228107008|Kepler-772
TIC 444037742|Gaia DR2 604743013163971072|K2-268
K2-393|TIC 279046938|Gaia DR2 2651117427299894656
TIC 436575927|Gaia DR2 3406132644545570432|K2-394
Gaia DR2 2077236713401973888|TIC 271964647|Kepler-119
